iShares Core S&P 500 ETF
Fund Holdings as of,"Apr 06, 2023"
Inception Date,"May 15, 2000"
Shares Outstanding,"743,100,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"AMAT","APPLIED MATERIAL INC","Information Technology","Equity","856,972,873.05","0.28","856,972,873.05","7,487,749.00","114.45","United States","NASDAQ","USD","1.00","USD","-"
"AMT","AMERICAN TOWER REIT CORP","Real Estate","Equity","854,713,375.67","0.28","854,713,375.67","4,135,243.00","206.69","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NOW","SERVICENOW INC","Information Technology","Equity","853,020,744.03","0.28","853,020,744.03","1,802,931.00","473.13","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ADI","ANALOG DEVICES INC","Information Technology","Equity","842,561,290.11","0.28","842,561,290.11","4,501,583.00","187.17","United States","NASDAQ","USD","1.00","USD","-"
"AXP","AMERICAN EXPRESS","Financials","Equity","839,824,584.27","0.27","839,824,584.27","5,287,569.00","158.83","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TJX","TJX INC","Consumer Discretionary","Equity","800,988,593.30","0.26","800,988,593.30","10,262,506.00","78.05","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ISRG","INTUITIVE SURGICAL INC","Health Care","Equity","799,464,836.10","0.26","799,464,836.10","3,111,969.00","256.90","United States","NASDAQ","USD","1.00","USD","-"
"ADP","AUTOMATIC DATA PROCESSING INC","Industrials","Equity","795,296,686.05","0.26","795,296,686.05","3,680,055.00","216.11","United States","NASDAQ","USD","1.00","USD","-"
"REGN","REGENERON PHARMACEUTICALS INC","Health Care","Equity","791,295,437.17","0.26","791,295,437.17","954,829.00","828.73","United States","NASDAQ","USD","1.00","USD","-"
"C","CITIGROUP INC","Financials","Equity","788,882,802.80","0.26","788,882,802.80","17,201,980.00","45.86","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TMUS","T MOBILE US INC","Communication","Equity","787,017,121.38","0.26","787,017,121.38","5,260,458.00","149.61","United States","NASDAQ","USD","1.00","USD","-"
"PGR","PROGRESSIVE CORP","Financials","Equity","765,133,843.76","0.25","765,133,843.76","5,194,744.00","147.29","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PYPL","PAYPAL HOLDINGS INC","Financials","Equity","753,211,647.76","0.25","753,211,647.76","10,048,181.00","74.96","United States","NASDAQ","USD","1.00","USD","-"
"MMC","MARSH & MCLENNAN INC","Financials","Equity","744,641,906.40","0.24","744,641,906.40","4,396,280.00","169.38","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VRTX","VERTEX PHARMACEUTICALS INC","Health Care","Equity","734,451,102.90","0.24","734,451,102.90","2,283,315.00","321.66","United States","NASDAQ","USD","1.00","USD","-"
"CB","CHUBB LTD","Financials","Equity","725,448,489.60","0.24","725,448,489.60","3,686,222.00","196.80","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MO","ALTRIA GROUP INC","Consumer Staples","Equity","704,574,627.69","0.23","704,574,627.69","15,858,083.00","44.43","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CI","CIGNA","Health Care","Equity","703,729,742.49","0.23","703,729,742.49","2,652,681.00","265.29","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ZTS","ZOETIS INC CLASS A","Health Care","Equity","699,309,729.18","0.23","699,309,729.18","4,139,397.00","168.94","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SO","SOUTHERN","Utilities","Equity","699,163,293.01","0.23","699,163,293.01","9,668,971.00","72.31","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DUK","DUKE ENERGY CORP","Utilities","Equity","682,089,444.50","0.22","682,089,444.50","6,838,675.00","99.74","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
